datetime,PM25,UFP,NOx,BC,O3,CO,Ox,NO2,NO,NO2_palmes,SO2,H2S,PM10,NH3
2024-06-17 18:00:00,4.736932203389831,8143.5,10.932780487804878,0.27599999999999997,86.005,204.15,46.16675,7.569951219512195,2.2285185185185186,,0.5392307692307692,0.1,11.651653846153845,8.913666666666666
2024-06-17 19:00:00,4.36135593220339,10392.0,10.623134146341464,0.27143333333333336,84.2025,208.05000000000004,45.35120454545454,7.741670731707317,1.9127160493827162,,0.44153846153846155,0.55,12.274381578947368,6.224333333333333
2024-06-17 20:00:00,3.8750338983050847,12950.5,12.110963414634147,0.28426666666666667,78.56090909090909,209.1,43.62706818181818,9.254353658536585,1.8775308641975306,,0.31999999999999995,0.2,13.066064935064935,6.9319999999999995
2024-06-17 21:00:00,3.600949152542373,15206.0,16.329987804878048,0.36846666666666666,67.4325,233.23333333333335,39.82452272727273,13.100109756097561,2.114074074074074,,0.6484615384615384,0.2,14.448773333333335,6.410777777777778
2024-06-17 22:00:00,3.6801754385964913,25592.0,21.071341463414633,0.49696666666666667,53.98840909090909,271.65000000000003,36.12627272727273,17.640536585365854,2.184567901234568,,0.5753846153846154,0.44999999999999996,14.710346666666668,8.334777777777779
2024-06-17 23:00:00,4.433280701754386,19730.5,24.760426829268294,0.5756,41.40568181818182,290.7833333333333,31.19427272727273,21.51960975609756,2.05962962962963,,1.183076923076923,1.1,13.706666666666669,9.127888888888888
2024-06-18 00:00:00,4.987362068965517,20020.0,26.753475609756094,0.6458333333333334,32.74727272727273,364.8833333333334,27.708000000000002,23.44012195121951,2.112098765432099,,1.4861538461538462,2.15,13.004367088607596,11.413777777777778
2024-06-18 01:00:00,5.410706896551725,18893.0,28.27682716049383,0.6274666666666667,25.215,275.8,24.682302325581393,24.729518518518518,2.410625,,2.1792307692307693,2.8,12.709142857142858,11.993555555555554
2024-06-18 02:00:00,5.499457627118645,16852.0,29.14590243902439,0.7539666666666667,21.286363636363635,285.78333333333336,22.82511363636364,25.471780487804878,2.40320987654321,,2.784615384615385,2.9,12.53038961038961,12.69188888888889
2024-06-18 03:00:00,5.830830508474576,14935.0,27.93293902439024,0.697551724137931,18.917727272727273,276.01666666666665,20.79265909090909,24.485134146341462,2.3000000000000003,,2.462307692307692,3.4,11.940688311688312,15.549444444444443
2024-06-18 04:00:00,5.981254237288136,13664.0,28.076780487804875,0.7818275862068965,16.562954545454545,325.95,19.17275,23.73241463414634,2.837530864197531,,1.7430769230769232,1.4,11.878410256410255,10.514222222222223
2024-06-18 05:00:00,5.986389830508474,14772.5,36.48118292682927,1.0157241379310344,14.022954545454546,367.55,19.40834090909091,26.671195121951218,6.335185185185185,,1.0846153846153845,0.7,13.12101282051282,14.837555555555557
