"ID";"Geslacht";"Leeftijd";"RegioS";"Perioden";"TotaalNieuwvormingen_8";"TotaalEndocrieneVoedingsStofwZ_32";"TotaalPsychischeStoornissen_35";"TotaalZiektenVanHartEnVaatstelsel_43";"TotaalZiektenVanDeKransvaten_44";"k_711AcuutHartinfarct_45";"k_712OverigeZiektenVanDeKransvaten_46";"k_72OverigeHartziekten_47";"TotaalZiektenVanDeAdemhalingsorganen_50";"k_81Griep_51";"k_82Longontsteking_52";"TotaalChronischeAandOndersteLucht_53";"k_831Astma_54";"k_832OvChronAandOndersteLuchtw_55";"k_84OverigeZiektenAdemhalingsorganen_56";"TotaalZiektenSpierenBeendBindwfsl_64";"k_111ReumatoideArtritisEnArtrose_65";"k_112OvZktnSpierenBeendBindwfsl_66"
"374";"T001038";"10000";"PV27  ";"2022JJ00";"    7196";"     616";"    1808";"    5694";"    1268";"     800";"     468";"    1913";"    1868";"      97";"     510";"     973";"      14";"     959";"     288";"     209";"      69";"     140"
"375";"T001038";"10000";"PV27  ";"2023JJ00";"    7202";"     613";"    1938";"    5877";"    1266";"     770";"     496";"    2004";"    2019";"     108";"     630";"    1010";"      30";"     980";"     271";"     240";"      79";"     161"
"376";"T001038";"10000";"PV27  ";"2024JJ00";"    7381";"     567";"    2112";"    5542";"    1253";"     833";"     420";"    1853";"    2100";"      97";"     683";"    1019";"      30";"     989";"     301";"     221";"      79";"     142"
"403";"T001038";"10000";"PV28  ";"2022JJ00";"    9451";"     834";"    2481";"    7416";"    1556";"     932";"     624";"    2704";"    2744";"     153";"     782";"    1389";"      31";"    1358";"     420";"     275";"      85";"     190"
"404";"T001038";"10000";"PV28  ";"2023JJ00";"    9248";"     775";"    2772";"    7184";"    1502";"     904";"     598";"    2654";"    2834";"     138";"     917";"    1368";"      49";"    1319";"     411";"     270";"      87";"     183"
"405";"T001038";"10000";"PV28  ";"2024JJ00";"    9194";"     780";"    2988";"    7104";"    1480";"     869";"     611";"    2554";"    3005";"     193";"     946";"    1421";"      45";"    1376";"     445";"     274";"      95";"     179"
"432";"T001038";"10000";"PV29  ";"2022JJ00";"    1219";"      99";"     354";"    1057";"     219";"     125";"      94";"     428";"     276";"      10";"      83";"     135";"      10";"     125";"      48";"      24";"       5";"      19"
"433";"T001038";"10000";"PV29  ";"2023JJ00";"    1243";"     111";"     371";"    1027";"     213";"     144";"      69";"     382";"     307";"      19";"     102";"     148";"      11";"     137";"      38";"      22";"      11";"      11"
"434";"T001038";"10000";"PV29  ";"2024JJ00";"    1217";"      83";"     381";"    1062";"     219";"     134";"      85";"     425";"     352";"      16";"     111";"     169";"       5";"     164";"      56";"      24";"       9";"      15"
"461";"T001038";"10000";"PV30  ";"2022JJ00";"    7361";"     501";"    2004";"    5925";"    1219";"     755";"     464";"    2190";"    2030";"      76";"     545";"    1116";"      16";"    1100";"     293";"     192";"      59";"     133"
"462";"T001038";"10000";"PV30  ";"2023JJ00";"    7312";"     501";"    2293";"    6171";"    1237";"     770";"     467";"    2200";"    2178";"      90";"     618";"    1123";"      24";"    1099";"     347";"     174";"      57";"     117"
"463";"T001038";"10000";"PV30  ";"2024JJ00";"    7208";"     474";"    2288";"    5885";"    1179";"     718";"     461";"    2094";"    2368";"     133";"     734";"    1170";"      33";"    1137";"     331";"     213";"      67";"     146"
